club_name,urls
South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/
South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
Southern California Paleontological Society,http://socalpaleo.com/
Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/
Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/
Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/
Tule Gem and Mineral Society,http://www.tulegem.com/
Vallejo Gem & Mineral Society,http://www.vjgems.org/
"Valley Prospectors, Inc.",https://www.valleyprospectors.com/
"Ventura Gem & Mineral Society, Inc",http://vgms.org/
Victor Valley Gem and Mineral Club,http://www.vvgmc.org/
Vista Gem & Mineral Society,http://www.vistarocks.org/
West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/
West End Prospectors Corporation,http://www.wepcgold.com
"Whittier Gem and Mineral Society, Inc.",http://wgmsca.com/index.html
"Woodland Hills Rock Chippers, Inc.",http://www.rockchippers.org/
Yucaipa Valley Gem & Mineral Society,http://www.yvgms.org/wiki/
,
Canon City Geology Club,http://www.canoncitygeologyclub.com/
Colorado Gold Camp,http://coloradogoldcamp.com/
Colorado Mineral Society,http://www.coloradomineralsociety.org/
Colorado Prospector,http://www.coloradoprospector.com/
Colorado Springs Mineral Society,http://www.csms1936.com/
Columbine Gem and Mineral Society,http://rockaholics.org/
Denver Gem and Mineral Guild,http://denvergem.org/index.html
Flatirons Mineral Club,http://flatironsmineralclub.org/
Fort Collins Rockhounds,http://www.fortcollinsrockhounds.org/
Four Corners Gem & Mineral Club,http://www.durangorocks.org/
Friends of Mineralogy - Colorado Chapter ,http://friendsofmineralogycolorado.org/
Grand Junction Gem & Mineral Club,http://www.grandjunctionrockclub.org/
Lake George Gem & Mineral club,http://www.lggmclub.org/
"Littleton Gem and Mineral Club, Inc.",http://littletongemandmineralclub.com/
Mile High Rock and Mineral Society,http://www.milehirams.com/
North Jeffco Gem & Mineral Club,http://www.peaktopeak.com/njeffco/index.php
Pueblo Rockhounds,http://www.pueblorockhounds.org/
Western Interior Paleontological Society,http://www.westernpaleo.org/
,
Bristol Gem & Mineral Club,http://bristolgem.org/
Danbury Mineralogical Society,http://danburymineralogicalsociety.weebly.com/
Lapidary and Mineral Society of Central Connecticut,http://www.lmscc.org/
New Haven Mineral Club,http://www.newhavenmineralclub.org/
Stamford Mineralogical Society,http://www.stamfordmineralsociety.org/
,
"Delaware Mineralogical Society, Inc.",http://www.delminsociety.net/
,
Canaveral Mineral & Gem Society,http://www.canaveral-mgs.com/
Central Brevard Rock and Gem Club,http://www.centralbrevardgems.org/
Central Florida Mineral and Gem Society,http://www.cfmgs.org/
Florida Fossil Hunters,http://floridafossilhunters.com/
Florida Gold Coast Gem & Mineral Society,http://fgcgms.com/main/
Fossil Club of Lee County,http://www.fcolc.com/
Gainesville Gem & Mineral Society,http://gainesvillegms.weebly.com/
Gem and Mineral Society of the Palm Beaches,http://www.gemandmineralsociety.org/
"Imperial Bone Valley Gem, Mineral, & Fossil Society",http://www.bonevalley.net/
"Jacksonville Gem and Mineral Society, Inc.",http://www.jaxgemandmineral.org/
"Miami Mineralogical and Lapidary Guild, Inc.",http://www.mmlg-inc.org/
Playground Gem and Mineral Society,http://playgroundgem.org/
Southwest Florida Fossil Society,http://www.southwestfloridafossilsociety.org/
St Lucie County Rock and Gem Club,http://www.slcrockandgem.org/
Suncoast Gem and Mineral Society,http://sgams.com/
Tampa Bay Fossil Club,http://www.tampabayfossilclub.com/
"Tampa Bay Mineral & Science Club, Inc.",http://www.tampabayrockclub.com/
The Villages Gem and Mineral Society,http://www.thevillagesgemandmineralsociety.com/
Tomoka Faceters Guild,http://www.tomokafacetersguild.org/index.html
Withlacoochee Rockhounds,http://www.withlacoocheerockhounds.com/
,
Athens Rock and Gem Club,http://www.athensrockandgemclub.org/
Augusta Gem & Mineral Society,http://agams.club/
Cobb County Gem and Mineral Society,https://www.ccgms.org/
"Georgia Mineral Society, Inc.",http://www.gamineral.org/
Mid-Georgia Gem and Mineral Society,http://midgagmsorg.ipage.com/
Rome Georgia Mineral Society Inc.,https://rogams.wordpress.com/
,
"Hui Pohaku 'O Hawai'i Rock & Mineral Society of Hawai'i, Inc.",http://pohakugalore.net/Hui_pohaku/Hiu_pohaku_1.html
,
"Hells Canyon Gem Club, Inc.",http://www.hellscanyongemclub.com/
Idaho Falls Gem & Mineral Society,http://ifgemmineral.weebly.com/
"Idaho Gem Club, Inc.",http://www.idahogemclub.com/
Magic Valley Gem Club,http://magicvalleygemclub.org/
North Idaho Mineral Club,http://www.northidahomineralclub.com/
Owyhee Gem & Mineral Society,http://www.owyheerocks.com/
Pend Oreille Rock and Gem Club,https://pendoreillerockandgemclub.wordpress.com/
Southeast Idaho Gem and Mineral Society,https://www.facebook.com/SEIGMS
,
Black Hawk Gem & Mineral Club,http://www.blackhawkgemandmineralclub.com/
Central Illinois Gem & Mineral Club,http://rmkapta.wixsite.com/cigmc
Chicago Rocks & Minerals Society,http://www.chicagorocks.org/
Elgin Rock Club,http://elginrockclub.org/
"Geodeland Earth Science Clubs, Inc.",http://www.geodeland.com/
Lincoln Orbit Earth Science Society,http://www.loess.org/
Midwest Historical Research Society,http://www.mhrsusa.com/
Northwest Illinois Rock Club,http://nwilrockclubfrpt.blogspot.com/
Peoria Academy of Science Geology Section,http://www.pasgeology.com/
Southern Illinois Earth Science Club,http://www.siesclub.org/
West Central Illinois Rock & Mineral Club,http://www.rockchatter.com/
West Suburban Lapidary Club,http://www.westsuburbanlapidaryclub.com/
,
500 Earth Sciences Club,http://www.500earthsciencesclub.org/
Brown County Rock and Mineral Club,http://browncountyrock.webs.com/
Calumet Gem & Mineral Society,https://www.facebook.com/calumetrockclub
Evansville Lapidary Society,http://evansvillelapidarysociety.tumblr.com/
"Eastern Indiana Gem & Geological Society, Inc.",http://eiggs.weebly.com/
